productCode,sitePatra,siteSKG1,siteSKG2,productNameGreek,productNameEnglish,productDescriptionGreek,productDescriptionEnglish,productAccompanyGreek,productAccompanyEnglish,extraPricingGreek,extraPricingEnglish,CatalogueCategoryGreek,CatalogueCategoryEnglish,pricePatra,priceSKG1,priceSKG2,CALORIES,SUGARFREE,LOW CALORIES,VEGAN,LOW  GLUTEN,NO FLOUR,NO BUTTER,HIGH PROTEIN
p0001,TRUE,TRUE,TRUE,Banana Bread,Banana Bread,,,,,,,SMALL TREATS,SMALL TREATS,4.3,5.3,6.3,1273,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
p0002,TRUE,TRUE,TRUE,Carrot Cake ,Carrot Cake ,Με cream cheese frosting,with cream cheese frosting,,,,,SMALL TREATS,SMALL TREATS,4,5,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0003,TRUE,TRUE,TRUE,Cinnamon Rolls ,Cinnamon Rolls ,Ολικής χωρίς ζάχαρη,"Whole wheat, sugar free",,,,,SMALL TREATS,SMALL TREATS,4.5,5.5,6.5,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
p0004,TRUE,TRUE,TRUE,Muffins Φουντουκιού,Hazelnuts Muffins,Με 100% αλεύρι βρώμης χωρίς γλουτένη κακάο και φουντούκια,"Muffins with 100% oat flour, cacao and hazelnuts",,,,,SMALL TREATS,SMALL TREATS,4.3,5.3,6.3,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
p0005,TRUE,TRUE,TRUE,Quinoa Cookie,Quinoa Cookie,Με 100% Αλεύρι βρώμης χωρίς γλουτένη κακάο και φουντούκια,"With oat, cranberries and chocolate drops",,,,,COOKIES,COOKIES,2.3,3.3,4.3,123,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
p0006,TRUE,TRUE,TRUE,Choco Chip Cookie,Choco Chip Cookie,"Με αλεύρι καστανού ρυζιού και βρώμης με αμυγδαλοβούτυρο
παραγωγής μας και κομμάτια σοκολάτας","With brown rice and oat flour, Rubik’s almond butter and chocolate pieces",,,,,COOKIES,COOKIES,2.3,3.3,4.3,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
p0007,TRUE,TRUE,TRUE,Healthy Nutella,Healthy Nutella,Mε φουντουκοβούτυρο παραγωγής μας και σοκολάτα,Healthy Nutella with Rubik’s hazelnut butter and chocolate,,,,,COOKIES,COOKIES,2.3,3.3,4.3,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
p0008,TRUE,TRUE,TRUE,Salted chocolate brownie cookie,Salted chocolate brownie cookie,,,,,,,COOKIES,COOKIES,2.3,3.3,4.3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0009,TRUE,TRUE,FALSE,Γεμιστά,Filled,Με φυστικοβούτυρο παραγωγής μας και μαρμελάδα blueberries,Filled with organic peanut butter our production and blueberry jam,,,,,COOKIES,COOKIES,2.3,3.3,4.3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0010,TRUE,TRUE,FALSE,Ημέρας,Day's Specials,Ρωτήστε μας για το cookie ημέρας,,,,,,COOKIES,COOKIES,2.3,3.3,4.3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0011,TRUE,TRUE,FALSE,Cranberry balls,Cranberry balls,"Αμύγδαλα, cranberry powder, χουρμάδες, φυστικοβούτυρο","Almonds, cranberry powder, dates, peanut butter",,,,,ENERGY BALLS,ENERGY BALLS,2,3,4,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0012,TRUE,TRUE,FALSE,Matcha balls,Matcha balls,"Αntioxidant + metabolic boost με κάσιους, χουρμάδες και φυστίκι Αιγίνης","Antioxidant+metabolic boost with cashew nuts, dates and pistachio",,,,,ENERGY BALLS,ENERGY BALLS,2,3,4,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0013,TRUE,TRUE,FALSE,Ferrero balls,Ferrero balls,Φουντουκοβούτυρο παραγωγής μας και κακάο,Hazelnut butter our production and cacao,,,,,ENERGY BALLS,ENERGY BALLS,2,3,4,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0014,TRUE,TRUE,FALSE,Πορτοκάλι και κακάο,Orange and cacao,"Με χουρμάδες, φυτική πρωτεΐνη και ξηρούς καρπούς","With dates, plant-based protein and dry nuts",,,,,PROTEIN BARS,PROTEIN BARS,2,3,4,147,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0015,TRUE,TRUE,FALSE,Βανίλια και φουντούκι,Vanilla and hazelnut,"Με χουρμάδες, φυτική πρωτεΐνη και ξηρούς καρπούς","With dates, plant-based protein and dry nuts",,,,,PROTEIN BARS,PROTEIN BARS,2,3,4,147,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0016,TRUE,TRUE,FALSE,Cookie dough,Cookie dough,Mε chips σοκολάτας και καρποβούτυρο από κάσιους,Cookie dough with chocolate chips and cashew butternut,,,,,PROTEIN BARS,PROTEIN BARS,2,3,4,147,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0017,TRUE,TRUE,FALSE,Banoffee,Banoffee,"Βάση με μπισκότο, καραμέλα και κρέμα με φιλέ αμυγδάλου και ωμούς σπόρους κακάο","Base with biscuit, caramel, and almond cream with almond fillet
and raw cocoa seeds",,,,,ΓΛΥΚΑ ΨΥΓΕΙΟΥ,FRIDGE PASTA,4.8,5.8,6.8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0018,TRUE,TRUE,FALSE,Cheesecake,Cheesecake,"Βάση με βασιλικούς χουρμάδες, βρώμη και ξηρούς καρπούς, κρέμα από κάσιους με βιολογικό νέκταρ αγαύης","Base with royal dates, oats and nuts, cashew cream with organic agave nectar",ΡΩΤΗΣΤΕ ΜΑΣ ΓΙΑ ΤΗ ΓΕΥΣΗ ΤΗΣ ΗΜΕΡΑΣ!,ASK US FOR THE FLAVOUR OF THE DAY!,,,ΓΛΥΚΑ ΨΥΓΕΙΟΥ,FRIDGE PASTA,5.5,6.5,7.5,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
p0019,TRUE,TRUE,FALSE,Choco Granola,Choco Granola,"Ψημένες νιφάδες βρώμης με σοκολάτα και φουντούκια,
κομμάτια φρέσκιας μπανάνας και βιολογικό νέκταρ αγαύης","Baked oat flakes with nuts, cacao, agave nectar, fresh banana chunks with milk or
almond/soy/coconut/oat milk, hot or cold",,,"Βιολογικό ρόφημα
αμυγδάλου / σόγιας / καρύδας / βρώμης κρύο ή ζεστό +€0,50","Served with milk or almond/soy/coconut/oat milk, hot or cold +€0,50",SMOOTHIE BOWLS,SMOOTHIE BOWLS,5.5,6.5,7.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0020,TRUE,TRUE,FALSE,Choco-Peanuts Porridge,Choco-Peanuts Porridge,"Βιολογικές νιφάδες βρώμης, κακάο, βιολογικό νέκταρ αγαύης,
φρέσκες μπανάνες, cacao nibs, τριμμένος λιναρόσπορος,
φυστικοβούτυρο παραγωγής μας","Organic oat flakes, cacao, organic agave nectar, fresh bananas, chocolate, ground
linseed and organic peanut butter our production, milk or almond/soy/coconut
milk, hot or cold +€0,50",,,"Γάλα ή ρόφημα αμυγδάλου / σόγιας / καρύδας / βρώμης +€0,50","Served with milk or almond/soy/coconut/oat milk, hot or cold +€0,50",SMOOTHIE BOWLS,SMOOTHIE BOWLS,6.5,7.5,8.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0021,TRUE,TRUE,FALSE,Porridge of the month,Porridge of the month,Scan τον κατάλογο με τα πιάτα ημέρας,Scan the menu with the dishes of the day,,,,,SMOOTHIE BOWLS,SMOOTHIE BOWLS,6,7,8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0022,TRUE,TRUE,FALSE,Fruit Yogurt,Fruit Yogurt,"Γιαούρτι 2% με φρούτα εποχής, βιολογικό νέκταρ αγαύης
και αμυγδαλοβούτυρο παραγωγής μας από 100% ελληνικά αμύγδαλα","2% yogurt with fresh fruit, organic agave nectar and organic almond butter our
production made by 100% almonds",,,"- Γιαούρτι 2% + €1,00
- Γιαούρτι βιολογικής σόγιας +€1,00","2% fat yogurt +€1,00
with organic soya yogurt +€1,00",SMOOTHIE BOWLS,SMOOTHIE BOWLS,6.5,7.5,8.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
p0023,TRUE,TRUE,FALSE,Choco Protein Yogurt,Choco Protein Yogurt,"Γιαούρτι 2% με κακάο και βιολογικό νέκταρ αγαύης,
φυστικοβούτυρο παραγωγής μας, μπανάνα, χειροποίητη granola σοκολάτας","2% fat yogurt with cacao and organic agave nectar, peanut butter sauce, banana,
handmade biscuit",,,"ΒΙΟΛΟΓΙΚΟ ΓΙΑΟΥΡΤΙ ΣΟΓΙΑΣ ΧΩΡΙΣ ΖΑΧΑΡΗ + € 0,50",,SMOOTHIE BOWLS,SMOOTHIE BOWLS,6,7,8,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
p0024,TRUE,TRUE,FALSE,Acai Berry Yogurt,Acai Berry Yogurt,"Γιαούρτι 2% με Αcai Berry, βιολογικούς σπόρους chia
με χειροποίητη granola με ξηρούς καρπούς και χειροποίητη
μαρμελάδα με φρούτα του δάσους χωρίς ζάχαρη","2% fat yogurt with acai Berry, chia seeds, handmade granola with nuts and
handmade forest fruit jam without sugar",,,"ΒΙΟΛΟΓΙΚΟ ΓΙΑΟΥΡΤΙ ΣΟΓΙΑΣ ΧΩΡΙΣ ΖΑΧΑΡΗ + € 0,50","ALL CAN BE PREPARED WITH ORGANIC SOYA YOGURT WITHOUT SUGAR + € 0,50",SMOOTHIE BOWLS,SMOOTHIE BOWLS,6,7,8,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
p0025,TRUE,TRUE,FALSE,"Purple Haze, Acai Berry bowl","Purple Haze, Acai Berry bowl","Μιξ μούρων, μπανάνα, açaí, γάλα, σπόροι chia, cranberries,
goji berries, blueberries χωρίς ζάχαρη, χειροποίητη superfood granola","Mixed berries, banana, açaí, milk, chia seeds, cranberries, goji berries,
blueberries without sugar, handmade superfood granola",,,,,SMOOTHIE BOWLS,SMOOTHIE BOWLS,7,8,9,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
p0026,TRUE,TRUE,FALSE,Pink Cadillac,Pink Cadillac,"Φράουλα, μπανάνα, γάλα, goji berries, σπόροι κάνναβης","Strawberry, banana, milk, goji berries, hemp seeds",,,,,SMOOTHIE BOWLS,SMOOTHIE BOWLS,6.5,7.5,8.5,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
p0027,TRUE,FALSE,FALSE,Yellow submarine,Yellow submarine,"Μάνγκο, μπανάνα, γάλα, χειροποίητη superfood granola
με αποξηραμένα φρούτα, βιολογική γύρη, φιλέ αμυγδάλου","Mango, banana,milk, handmade superfood granola with dried fruit,
pollen, almond flakes",,,,,SMOOTHIE BOWLS,SMOOTHIE BOWLS,6.5,7.5,8.5,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
p0028,TRUE,FALSE,FALSE,Made from Chocolate,Made from Chocolate,"Μπανάνα, κακάο, γάλα, τρίμμα καρύδας, cacao nibs,
φυστικοβούτυρο παραγωγής μας","Banana, cacao, milk, ground coconut, cacao nibs, Rubik’s peanut butter",,,,,SMOOTHIE BOWLS,SMOOTHIE BOWLS,6,7,8,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
p0029,TRUE,FALSE,FALSE,Berry Fields,Berry Fields,"Σμέουρα, μπανάνα, γάλα, χειροποίητη superfood granola, φρέσκες
φράουλες (όταν είναι η εποχή τους) φυστικοβούτυρο, σκόνη cranberries","Raspberries, banana, milk, handmade superfood granola,
fresh strawberries - when in season -, peanut butter, cranberry powder",,"ALL SMOOTHIE BOWLS CAN BE MADE VEGAN WITH ORGANIC SOY, ALMOND, COCONUT OR OAT MILK",,,SMOOTHIE BOWLS,SMOOTHIE BOWLS,7,8,9,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
p0030,TRUE,FALSE,FALSE,Choco Pancakes,Choco Pancakes,"Σοκολατένια pancakes με λευκή πραλίνα και ganache μαύρης σοκολάτας,
τριμμένο φουντούκι, cranberries χωρίς ζάχαρη και ωμούς σπόρους κακάο","Chocolate pancakes with white and black chocolate, crushed hazelnut,
sugar-free cranberries, cacao nibs",Vegan επιλογή χωρίς την λευκή σοκολάτα,Vegan option without the white chocolate,,,ΓΛΥΚΑ ΚΑΙ ΑΛΜΥΡΑ PANCAKES,PASTA PANCAKES,8,9,10,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0031,TRUE,FALSE,FALSE,Protein Pancakes,Protein Pancakes,"Sauce κακάο-φυστικοβούτυρο με φρέσκες μπανάνες, βιολογικό νέκταρ
αγαύης και χειροποίητο μπισκότο από αμύγδαλα και cranberries","Cacao-peanut butter sauce, fresh bananas and handmade biscuit",,,,,ΓΛΥΚΑ ΚΑΙ ΑΛΜΥΡΑ PANCAKES,PASTA PANCAKES,8,9,10,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
p0032,TRUE,FALSE,FALSE,Red Velvet Pancakes,Red Velvet Pancakes,"Κόκκινα pancakes με cream cheese, μαρμελαδα blueberry,
βιολογικά αποξηραμένα blueberries και σπόρους chia","Red pancakes with cream cheese, blueberry jam,
organic dried blueberries, chia seeds",,,,,ΓΛΥΚΑ ΚΑΙ ΑΛΜΥΡΑ PANCAKES,PASTA PANCAKES,8.5,9.5,10.5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
p0033,TRUE,FALSE,FALSE,Lemon Haze Pancakes,Lemon Haze Pancakes,"Καπνιστή γαλοπούλα, γραβιέρα, σπανάκι baby,
sauce μοσχολέμονου και σπόροι κάνναβης","Smoked turkey, greek cheese-graviera, baby spinach, lime sauce and hemp seeds",,,"-1 αυγό poché €8,50
-2 αυγά pochés €9,00","1 poached egg €8,50
+2 poached eggs €9,00",ΓΛΥΚΑ ΚΑΙ ΑΛΜΥΡΑ PANCAKES,PASTA PANCAKES,7.5,8.5,9.5,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
